Variavel,Media,SD_Overall,SD_Between,SD_Within,Razao_B_W
gvc_fwd,6.822,0.562,0.554,0.139,3.992
gvc_back,22.171,10.434,9.911,3.713,2.669
gvc_pos,-0.131,0.083,0.079,0.03,2.635
dva_retention_ratio,26.947,10.306,9.573,4.184,2.288
gov_eff,0.533,1.174,1.104,0.445,2.483
v2clrspct,0.533,1.174,1.104,0.445,2.483
icrg_bq,0.547,0.105,0.091,0.055,1.652
bti_st,51.786,30.715,31.22,0,NA
bti_i,42.321,29.615,30.138,0,NA
log_gdp_pc,9.784,0.708,0.67,0.258,2.594
human_capital,2.657,0.454,0.411,0.207,1.992
trade_open,73.471,36.991,34.573,14.588,2.37
fdi_gdp,3.639,6.154,2.628,5.586,0.47
gfcf,23.341,6.047,5.059,3.437,1.472
