Variavel,N,Media,DesvPad,Minimo,Mediana,Maximo
bti_i,756,42.321,29.615,1,34.5,106
bti_st,810,51.786,30.715,1,51.786,108
dva_retention_ratio,810,26.947,10.306,11.943,24.393,69.294
eci,810,0,0,0,0,0
fdi_gdp,783,3.639,6.154,-40.108,2.771,105.636
gfcf,783,23.341,6.047,4.452,22.353,44.076
gov_eff,810,0.533,1.174,-2.043,0.448,2.936
gvc_back,810,22.171,10.434,3.069,22.034,49.655
gvc_fwd,810,6.822,0.562,5.935,6.648,8.291
gvc_pos,810,-0.131,0.083,-0.336,-0.131,0.037
human_capital,810,2.657,0.454,1.452,2.648,3.836
icrg_bq,810,0.547,0.105,0.333,0.53,0.944
log_gdp_pc,810,9.784,0.708,7.865,9.825,11.576
trade_open,783,73.471,36.991,15.636,64.947,220.407
v2clrspct,810,0.533,1.174,-2.043,0.448,2.936
