Variavel,gvc_fwd,gvc_back,gvc_pos,dva_retention_ratio,gov_eff,v2clrspct,icrg_bq,bti_st,bti_i,log_gdp_pc,human_capital,trade_open,fdi_gdp,gfcf
gvc_fwd,1,0.305,-0.25,-0.175,0.037,0.037,0.259,0.184,0.018,0.095,0.266,0.355,0.203,-0.059
gvc_back,0.305,1,-0.997,-0.913,0.132,0.132,0.152,-0.005,-0.157,0.037,0.287,0.78,0.18,0.201
gvc_pos,-0.25,-0.997,1,0.934,-0.134,-0.134,-0.134,0.031,0.167,-0.016,-0.268,-0.756,-0.164,-0.212
dva_retention_ratio,-0.175,-0.913,0.934,1,-0.146,-0.146,-0.061,0.137,0.216,0.136,-0.19,-0.569,-0.117,-0.236
gov_eff,0.037,0.132,-0.134,-0.146,1,1,0.264,-0.613,-0.772,0.388,0.423,-0.068,0.12,-0.268
v2clrspct,0.037,0.132,-0.134,-0.146,1,1,0.264,-0.613,-0.772,0.388,0.423,-0.068,0.12,-0.268
icrg_bq,0.259,0.152,-0.134,-0.061,0.264,0.264,1,-0.199,-0.217,0.27,0.149,0.246,0.099,0.154
bti_st,0.184,-0.005,0.031,0.137,-0.613,-0.613,-0.199,1,0.81,-0.283,-0.292,0.164,0.047,0.066
bti_i,0.018,-0.157,0.167,0.216,-0.772,-0.772,-0.217,0.81,1,-0.467,-0.541,0.014,-0.094,0.257
log_gdp_pc,0.095,0.037,-0.016,0.136,0.388,0.388,0.27,-0.283,-0.467,1,0.649,0.218,0.08,-0.102
human_capital,0.266,0.287,-0.268,-0.19,0.423,0.423,0.149,-0.292,-0.541,0.649,1,0.295,0.175,-0.084
trade_open,0.355,0.78,-0.756,-0.569,-0.068,-0.068,0.246,0.164,0.014,0.218,0.295,1,0.208,0.159
fdi_gdp,0.203,0.18,-0.164,-0.117,0.12,0.12,0.099,0.047,-0.094,0.08,0.175,0.208,1,0.037
gfcf,-0.059,0.201,-0.212,-0.236,-0.268,-0.268,0.154,0.066,0.257,-0.102,-0.084,0.159,0.037,1
