country,year,gvc_fwd,gvc_back,gvc_position,eci,rnd_gdp,manuf_share,hitech_exp,gfcf
Brasil,1995,14.5,6.97,0.068,0.45,1.05,13.07,6.5,18.64
China,1995,8.2,14.73,-0.059,0.22,0.56,31.51,11.2,31.91
Brasil,2001,15.2,11.73,0.031,0.38,1.06,13.09,18.7,18.42
China,2001,9.1,18.22,-0.08,0.41,0.93,31.51,20.8,33.46
Brasil,2008,18.1,11.35,0.059,0.29,1.13,13.96,12.4,19.39
China,2008,12.1,22.11,-0.086,0.85,1.42,31.62,29.5,38.8
Brasil,2015,16.2,11.79,0.039,0.18,1.28,10.52,15.2,17.84
China,2015,14.1,16.13,-0.018,1.22,2.02,28.39,30.2,41.62
Brasil,2022,16.5,13.58,0.025,0.02,1.19,13.07,9.8,17.8
China,2022,15.3,16.99,-0.015,1.48,2.49,25.98,28.2,41.23
