country,iso3c,year,gvc_fwd,gvc_back,gvc_position,eci,state_cap,manuf_share,hitech_exp,gfcf,rnd_gdp
China,CHN,1995,8.2,14.73,-0.059,0.22,57,31.51,11.2,31.91,0.56
China,CHN,1996,8.35,14.73,-0.057,0.252,57,31.51,12.8,31.91,0.56
China,CHN,1997,8.5,14.33,-0.052,0.283,57,31.51,14.4,31.25,0.63
China,CHN,1998,8.65,14.49,-0.052,0.315,57,31.51,16,33.07,0.64
China,CHN,1999,8.8,16.11,-0.065,0.347,57,31.51,17.6,32.68,0.74
China,CHN,2000,8.95,17.45,-0.075,0.378,57,31.51,19.2,32.65,0.88
China,CHN,2001,9.1,18.22,-0.08,0.41,57,31.51,20.8,33.46,0.93
China,CHN,2002,9.53,18.46,-0.078,0.473,57,31.51,22.04,34.99,1.04
China,CHN,2003,9.96,22.74,-0.11,0.536,57,31.51,23.29,38.08,1.1
China,CHN,2004,10.39,25.32,-0.127,0.599,57,31.51,24.53,39.35,1.2
China,CHN,2005,10.81,23.76,-0.111,0.661,57,31.66,25.77,39.27,1.29
China,CHN,2006,11.24,24.5,-0.113,0.724,57,31.99,27.01,38.52,1.35
China,CHN,2007,11.67,22.73,-0.094,0.787,57,31.9,28.26,37.67,1.35
China,CHN,2008,12.1,22.11,-0.086,0.85,57,31.62,29.5,38.8,1.42
China,CHN,2009,12.39,18.37,-0.052,0.903,57,31.06,29.6,43.41,1.64
China,CHN,2010,12.67,19.39,-0.058,0.956,57,31.07,29.7,43.52,1.68
China,CHN,2011,12.96,20.48,-0.064,1.009,57,31.56,29.8,43.52,1.75
China,CHN,2012,13.24,19.07,-0.05,1.061,57,31.01,29.9,43.87,1.88
China,CHN,2013,13.53,19.03,-0.047,1.114,57,30.13,30,44.08,1.96
China,CHN,2014,13.81,17.94,-0.036,1.167,57,29.83,30.1,43.38,1.98
China,CHN,2015,14.1,16.13,-0.018,1.22,57,28.39,30.2,41.62,2.02
China,CHN,2016,14.24,16.33,-0.018,1.254,57,27.52,30.38,41.08,2.06
China,CHN,2017,14.38,16.95,-0.022,1.288,57,27.6,30.56,41.42,2.08
China,CHN,2018,14.52,17.37,-0.025,1.322,57,27.34,30.74,42.38,2.1
China,CHN,2019,14.66,16.74,-0.018,1.356,57,26.26,30.92,42.25,2.2
China,CHN,2020,14.8,15.93,-0.01,1.39,57,25.58,31.1,41.85,2.36
China,CHN,2021,15.05,17.05,-0.017,1.435,57,26.62,29.65,41.35,2.38
China,CHN,2022,15.3,16.99,-0.015,1.48,57,25.98,28.2,41.23,2.49
Brasil,BRA,1995,14.5,6.97,0.068,0.45,34,13.07,6.5,18.64,1.05
Brasil,BRA,1996,14.62,6.97,0.069,0.438,34,13.07,8.53,18.64,1.05
Brasil,BRA,1997,14.73,7.71,0.063,0.427,34,13.02,10.57,19.12,1.05
Brasil,BRA,1998,14.85,7.43,0.067,0.415,34,12.16,12.6,18.54,1.05
Brasil,BRA,1999,14.97,9.48,0.049,0.403,34,12.31,14.63,17.02,1.05
Brasil,BRA,2000,15.08,10.55,0.04,0.392,34,13.13,16.67,18.3,1.05
Brasil,BRA,2001,15.2,11.73,0.031,0.38,34,13.09,18.7,18.42,1.06
Brasil,BRA,2002,15.61,11.42,0.037,0.367,34,12.36,17.8,17.93,1.01
Brasil,BRA,2003,16.03,10.58,0.048,0.354,34,14.45,16.9,16.6,1
Brasil,BRA,2004,16.44,10.96,0.048,0.341,34,15.1,16,17.32,0.96
Brasil,BRA,2005,16.86,9.95,0.061,0.329,34,14.74,15.1,17.06,1
Brasil,BRA,2006,17.27,9.94,0.065,0.316,34,14.11,14.2,17.21,0.99
Brasil,BRA,2007,17.69,10.01,0.067,0.303,34,14.15,13.3,18,1.08
Brasil,BRA,2008,18.1,11.35,0.059,0.29,34,13.96,12.4,19.39,1.13
Brasil,BRA,2009,17.83,9.11,0.077,0.274,34,13.06,12.8,19.1,1.12
Brasil,BRA,2010,17.56,9.58,0.07,0.259,34,12.72,13.2,20.53,1.16
Brasil,BRA,2011,17.29,9.56,0.068,0.243,34,11.78,13.6,20.61,1.14
Brasil,BRA,2012,17.01,10.28,0.059,0.227,34,10.68,14,20.72,1.13
Brasil,BRA,2013,16.74,10.79,0.052,0.211,34,10.48,14.4,20.91,1.2
Brasil,BRA,2014,16.47,10.65,0.051,0.196,34,10.34,14.8,19.87,1.27
Brasil,BRA,2015,16.2,11.79,0.039,0.18,34,10.52,15.2,17.84,1.28
Brasil,BRA,2016,16.12,10.55,0.049,0.16,34,10.79,14.46,15.52,1.2
Brasil,BRA,2017,16.04,10.33,0.05,0.14,34,10.72,13.72,14.56,1.12
Brasil,BRA,2018,15.96,12.25,0.032,0.12,34,10.53,12.98,15.1,1.15
Brasil,BRA,2019,15.88,12.17,0.033,0.1,34,10.33,12.24,15.47,1.15
Brasil,BRA,2020,15.8,12.85,0.026,0.08,34,10.69,11.5,16.56,1.22
Brasil,BRA,2021,16.15,13.76,0.021,0.05,34,11.9,10.65,17.92,1.13
Brasil,BRA,2022,16.5,13.58,0.025,0.02,34,13.07,9.8,17.8,1.19
